Pd1,Pd2,Td1Td2
2.6,8.3,26.45
2.7,8.5,25.73
2.6,8.4,25.35
2.7,8.2,30.3
2.8,8.3,33.76
2.9,8.3,29.56
2.9,8.4,37.18
2.3,7.8,15.39
2.3,8.2,20.9
2.3,8.5,21.64
2.3,8.5,22.22
2.3,8.3,21.94
2.3,8.4,21.8
2.3,8.4,20.66
2.3,8.5,22.54
2.4,8.5,21.61
2.4,8.5,23.55
2.3,8.5,22.11
2.4,8.4,21.84
2.3,8.5,25.95
2.3,8.3,23.27
2.3,8.2,22.95
2.3,8.5,25.11
2.3,8.5,22.26
2.3,8.4,24.33
2.3,8.5,21.51
2.4,8.5,21.35
2.4,8.5,10.43
2.4,8.3,21.78
2.4,8.4,21.3
3.0,8.3,46.0
3.2,8.4,76.0
3.2,8.4,69.0
3.2,8.4,70.0
3.2,8.2,80.0
2.4,8.4,54.0
2.4,8.4,53.0
2.4,8.4,51.0
2.4,8.3,48.0
2.4,8.4,54.0
2.3,8.4,54.0
2.3,8.4,53.0
2.3,8.3,48.0
2.3,8.5,49.0
2.3,8.4,48.0
2.3,8.5,52.0
2.3,8.4,49.0
2.3,8.5,48.0
2.3,8.5,50.0
2.3,8.4,51.0
2.3,8.4,48.0
2.3,8.4,51.0
2.3,8.4,50.0
2.3,8.4,49.0
2.3,8.4,50.0
2.3,8.4,50.0
2.3,8.3,52.0
2.3,8.4,50.0
2.3,8.4,50.0
2.3,8.4,51.0
2.3,8.4,51.0
2.3,8.54,51.0
2.3,8.5,49.0
2.3,8.4,54.0
2.3,8.4,48.0
2.3,8.4,52.0
2.3,8.4,53.0
2.3,8.4,51.0
2.3,8.4,53.0
2.3,8.4,51.0
2.3,8.4,52.0
2.3,8.4,49.0
2.3,8.4,46.0
2.3,8.4,52.0
2.3,8.4,52.0
2.3,8.4,52.0
2.2,8.4,50.0
2.3,8.4,47.0
2.2,8.3,48.0
2.2,8.3,52.0
2.2,8.4,48.0
2.4,8.4,51.0
2.4,8.4,52.0
2.3,8.4,52.0
2.3,8.4,52.0
2.3,8.5,45.0
2.2,8.4,50.0
2.2,8.4,48.0
2.3,8.4,46.0
2.2,8.4,49.0
2.3,8.4,47.0
2.2,8.4,45.0
2.2,8.4,44.0
2.2,8.4,46.0
2.2,8.4,45.0
2.2,8.4,46.0
2.1,8.4,45.0
2.1,8.4,44.0
2.6,7.4,28.06
2.7,7.6,28.87
2.8,7.6,35.2
2.9,7.6,33.47
2.9,7.1,39.52
2.2,7.4,15.21
2.3,7.4,24.26
2.3,7.4,21.2
2.3,7.2,22.82
2.3,7.2,23.83
2.3,7.4,26.8
2.4,7.5,20.84
2.3,7.4,24.81
2.3,7.3,24.11
2.3,7.3,23.4
2.3,7.3,25.99
2.3,7.3,24.76
2.3,7.4,23.22
2.3,7.3,23.64
2.4,7.3,17.22
2.4,7.1,24.38
2.4,7.3,25.55
3.0,7.2,49.0
3.2,7.2,75.0
3.2,7.2,69.0
3.2,7.3,70.0
3.2,7.3,73.0
2.4,7.3,56.0
2.4,7.2,51.0
2.4,7.3,49.0
2.4,7.5,46.0
2.4,7.5,47.0
2.3,7.5,45.0
2.3,7.3,47.0
2.3,7.5,45.0
2.3,7.4,45.0
2.3,7.5,42.0
2.3,7.5,44.0
2.3,7.5,43.0
2.3,7.5,43.0
2.3,7.6,43.0
2.3,7.5,43.0
2.3,7.6,39.0
2.3,7.5,43.0
2.3,7.6,41.0
2.3,7.6,42.0
2.3,7.5,42.0
2.3,7.5,43.0
2.3,7.6,43.0
2.3,7.5,42.0
2.3,7.6,45.0
2.3,7.5,44.0
2.3,7.6,47.0
2.3,7.6,44.0
2.3,7.3,46.0
2.3,7.5,48.0
2.3,7.5,47.0
2.3,7.5,46.0
2.3,7.5,45.0
2.3,7.5,46.0
2.3,7.5,45.0
2.3,7.5,45.0
2.3,7.5,44.0
2.3,7.2,43.0
2.3,7.5,46.0
2.3,7.5,45.0
2.3,7.5,43.0
2.2,7.5,44.0
2.3,7.5,43.0
2.2,7.5,41.0
2.2,7.6,43.0
2.2,7.5,42.0
2.2,7.5,44.0
2.4,7.5,45.0
2.4,7.5,45.0
2.3,7.5,46.0
2.3,7.5,44.0
2.3,7.5,43.0
2.2,7.6,43.0
2.2,7.6,41.0
2.3,7.5,40.0
2.2,7.6,44.0
2.3,7.6,41.0
2.2,7.6,41.0
2.2,7.6,39.0
2.2,7.5,40.0
2.2,7.5,40.0
2.2,7.5,40.0
2.1,7.6,39.0
2.1,7.5,39.0
